iso_code,Country,total_cases,total_cases_per_million,Average Increasing rate(valid data),ratio of Total_cases to Lasting time,Death rate,Average Temperature-May,Average Temperature-April,Average Temperature-April&May,Population density (people per sq. km of land area),GDP per capita (constant 2010 US$),Current health expenditure(% of GDP),"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Adjusted savings: education expenditure (% of GNI),Urban population (% of total population),People using at least basic sanitation services (% of population),"Physicians (per 1,000 people)",Haq index
AND,Andorra,761,9849.22,0.07167449,142.7423188,0.067017083,16.86153846,13.79666667,15.32910256,163.8425532,44569.78301,10.32055244,,,2.44,88.062,99.99999628,,84.7
ARE,United Arab Emirates,25063,2534.073,0.087659588,22.82948649,0.009057176,23.03846154,23.4675,23.25298077,135.6091101,40782.44362,3.334282339,80.16600037,2.34800005,,86.522,98.58600874,2.4356,56.9
ARG,Argentina,8796,194.62,0.101475094,2.560789474,0.0446794,-22.48194076,-21.55203651,-22.01698863,16.2585101,10043.50855,9.124314785,55.30099869,9.788999557,4.993875172,91.87,,3.9901,57.4
ARM,Armenia,5041,1701.182,0.109284905,22.98894595,0.012695894,-22.48194076,-21.55203651,-22.01698863,103.6802248,4406.706434,10.36270484,46.17300034,16.98999977,2.290595157,63.149,93.64230727,4.4023,56.8
AUS,Australia,7068,277.178,0.071801382,2.329226891,0.014006791,-22.48194076,-21.55203651,-22.01698863,3.24787091,56864.33238,9.205947816,62.06700134,5.268000126,5.007327129,86.012,99.99115238,3.6778,78
AUT,Austria,16257,1805.05,0.099935782,20.74770115,0.038875561,-22.48194076,-21.55203651,-22.01698863,107.1279669,50056.73789,10.39661691,57.84799957,4.673999786,5.15750456,58.297,99.97290961,5.1697,74.4
AZE,Azerbaijan,3518,346.971,0.104386485,4.506116883,0.011654349,-22.48194076,-21.55203651,-22.01698863,120.234668,5770.463122,6.651829183,62.83800125,5.508999825,2.55164928,55.68,92.51144535,,52.9
BEL,Belgium,55791,4813.878,0.090571841,44.16401835,0.163252137,12.05384615,12.63,12.34192308,377.5844122,47120.32965,10.33866927,50.56900024,5.589000225,6.123153703,98.001,99.4860602,3.0709,75.4
BFA,Burkina Faso,806,38.559,0.065045339,0.550842857,0.064516129,11.35714286,7.716666667,9.536904762,72.19128289,712.0360878,6.915059686,62.26800156,6.263999939,4.31,29.358,19.40208709,0.0847,32.9
BGD,Bangladesh,25121,152.536,0.132721598,2.210666667,0.014728713,29.47692308,27.02333333,28.25012821,1239.579312,1203.216265,2.274248749,56.52099991,4.190000057,1.245992774,36.632,48.23324272,0.5433,32.6
BGR,Bulgaria,2292,329.858,0.081743511,4.51860274,0.05061082,11.35714286,7.716666667,9.536904762,64.71109985,8650.083768,8.095603436,52.9640007,4.340000153,3.864566939,75.008,86.00369811,,63
BHR,Bahrain,7532,4426.466,0.089682642,50.30075,0.001593202,29.47692308,27.02333333,28.25012821,2017.2737,21438.4099,4.748104885,72.83799744,0.713999987,2.91,89.287,100,,59.7
BIH,Bosnia and Herzegovina,2319,706.837,0.078202656,10.09767143,0.057352307,11.35714286,7.716666667,9.536904762,64.92048828,6032.246199,8.931667358,37.84700012,18.42499924,,48.245,95.36023531,,60.9
BLR,Belarus,31508,3334.419,0.126336604,43.30414286,0.005554145,29.47692308,27.02333333,28.25012821,46.71950379,6586.29774,5.92578575,61.18399811,4.59499979,4.703876886,78.595,97.79095198,,63.9
BMU,Bermuda,125,2007.29,0.050948297,31.86174603,0.072,11.35714286,7.716666667,9.536904762,1184.685164,,,,,2.1,100,99.90314002,,60.8
BOL,Bolivia,4481,383.876,0.097939173,5.483942857,0.042178085,11.35714286,7.716666667,9.536904762,10.48014585,2559.511317,6.443160772,69.3010025,3.497999907,6.08,69.425,60.71693757,,40.5
BRA,Brazil,271628,1277.892,0.136092476,14.68841379,0.066160337,11.35714286,7.716666667,9.536904762,25.06171624,11079.70968,9.467476606,56.16500092,12.08300018,6.109573197,86.569,88.29384941,2.1652,50.1
BRN,Brunei,141,322.298,0.042520737,4.476361111,0.007092199,11.35714286,7.716666667,9.536904762,81.39696395,31436.8682,2.373207733,58.78099823,9.116999626,3.990268292,77.629,,1.609,62
CAF,Central African Republic,411,85.097,0.07262492,1.270104478,0,-0.237664187,-7.099805071,-3.668734629,7.490412212,378.9952771,5.821775645,69.30699921,3.680000067,1.15,41.364,,,25.5
CAN,Canada,79101,2095.826,0.094130718,17.76123729,0.07473989,-0.237664187,-7.099805071,-3.668734629,4.075188239,51393.22142,10.57276949,61.45100021,5.56400013,4.93,81.411,99.28601285,2.6102,78.9
CHE,Switzerland,30535,3528.174,0.103165834,40.55372414,0.052824627,-0.476923077,3.844827586,1.683952255,215.437463,79245.2097,12.34632209,65.12599945,4.580999851,4.546704276,73.797,99.89037352,4.2957,81.4
CHL,Chile,49579,2593.558,0.120671736,33.25074359,0.010266443,13.27384615,14.99933333,14.13658974,25.18944607,15130.15432,8.983509988,58.20199966,7.090000153,4.57,87.564,100.0000014,2.4411,58.8
CHN,China,84065,58.406,0.047218638,0.408433566,0.055171593,29.62307692,29.35666667,29.48987179,148.3488333,7752.559525,5.151193216,65.05000305,4.320000172,1.79,59.152,84.76078771,1.9798,49.5
CIV,Cote d'Ivoire,2153,81.62,0.08979252,1.182898551,0.013005109,25.13076923,26.2,25.66538462,78.83405346,1692.54455,4.453034326,55.06399918,3.316999912,4.32551728,50.779,32.13490714,,35.5
CMR,Cameroon,3529,132.94,0.09787171,1.899142857,0.039671295,11.35714286,7.716666667,9.536904762,53.34398891,1500.703897,4.670666903,73.50099945,3.380000114,2.68,56.374,39.07555016,,38.3
COG,Congo,420,76.113,0.06752551,1.136014925,0.035714286,22.44038462,22.08333333,22.26185897,15.35684627,2651.700719,2.930279262,62.86999893,9.472000122,2.52,66.916,20.17287892,,32.2
COL,Colombia,16935,332.823,0.125036329,4.559219178,0.036197225,22.44038462,22.08333333,22.26185897,44.74870212,7691.745564,7.226280868,62.09500122,9.706999779,4.078497201,80.778,89.62535776,2.1064,51.1
CPV,Cape Verde,335,602.531,0.066004034,9.718241935,0.008955224,-0.237664187,-7.099805071,-3.668734629,134.9297767,3759.553249,5.165488645,53.04899979,12.2489996,5.213164685,65.732,73.85378676,,50.1
CRI,Costa Rica,882,173.141,0.072297986,2.308546667,0.011337868,27.55833333,27.90333333,27.73083333,97.91306306,9889.743515,7.328796387,54.73699951,11.85400009,7.244643269,79.34,97.81836025,2.9533,62.1
CUB,Cuba,1887,166.599,0.084941187,2.449985294,0.041865395,25.13076923,26.2,25.66538462,108.9995962,6816.896809,11.71132699,52.70299911,1.638000011,13.01,77.037,92.81024176,8.295,64.1
CYP,Cyprus,918,1048.066,0.071092998,14.76149296,0.018518519,20.46923077,17.96666667,19.21794872,128.7083333,31507.98697,6.684569269,58.47200012,7.274000168,6.154861662,66.81,99.15231146,,72
CZE,Czech Republic,8647,807.453,0.097322635,9.846987805,0.034925408,20.46923077,17.96666667,19.21794872,137.6577053,23349.57109,7.231339067,59.38800049,1.932999969,5.649942308,73.792,99.13409923,4.0676,68.3
DEU,Germany,176007,2100.725,0.095078707,18.10969828,0.045964081,9.1,5.833333333,7.466666667,237.3075967,47490.51712,11.2468347,58.96099854,3.042999983,4.370683148,77.312,99.22503756,4.2488,73.1
DJI,Djibouti,1518,1536.434,0.09459832,24.00678125,0.004611331,5.376923077,5.64,5.508461538,41.36842105,,3.316517919,54.04100037,10.29500008,7.431942208,77.777,63.60535725,,38.9
DNK,Denmark,11044,1906.701,0.100034949,22.17094186,0.049891344,5.376923077,5.64,5.508461538,137.9765658,63915.46836,10.10827944,59.16199875,4.913000107,6.898044901,87.874,99.59722882,,76.6
DOM,Dominican Republic,13223,1218.945,0.118040639,16.69787671,0.033350979,5.376923077,5.64,5.508461538,219.9785759,7697.723623,6.136395037,60.56200027,5.84499979,2.519252247,81.074,83.89320632,1.56,47.9
DZA,Algeria,7377,168.229,0.104938944,2.051573171,0.076047174,27.32051282,21.79777778,24.5591453,17.73007507,4764.375636,6.374321878,36.33300018,11.70400047,4.4671956,72.629,87.58657093,1.7879,48.2
ECU,Ecuador,34151,1935.662,0.118418538,24.81617949,0.083130801,19.43461538,20.01363636,19.72412587,68.78868175,5185.091461,8.257429302,65.33799744,3.967999935,3.93,63.821,87.98871604,,45.4
EGY,Egypt,13484,131.764,0.092761093,1.401744681,0.048872738,26.475,23.26227627,24.86863814,98.87346929,2907.317585,5.287636817,41.41899872,10.76000023,4.4111256,42.704,94.19302188,0.7993,45
